trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.23924641547182393,0.008919639879959987,0.105,0.0015,20,94,57.22209692001343
1,2,0.2632544181393798,0.0020006668889629878,0.201,0.0,40,188,54.26998591423035
1,3,0.49516505501833946,0.0004168056018672891,0.3935,0.0001,60,282,49.36309742927551
1,4,0.4472324108036012,0.00016672224074691563,0.4422,0.0,80,376,50.56189227104187
1,5,0.4143881293764588,0.0,0.4253,0.0,100,470,51.394667625427246
2,1,0.32277425808602866,0.297349116372124,0.1522,0.1476,20,94,52.9724497795105
2,2,0.5166722240746916,0.49591530510170057,0.7363,0.7349,40,188,48.89933490753174
2,3,0.9093864621540514,0.9093031010336778,0.9308,0.9308,60,282,40.24147009849548
2,4,0.9639046348782928,0.9637379126375458,0.9513,0.9513,80,376,39.08655619621277
2,5,0.9769089696565522,0.9769089696565522,0.9568,0.9568,100,470,38.68861937522888
3,1,0.32935978659553183,0.3020173391130377,0.1868,0.1654,20,94,52.90064287185669
3,2,0.5036678892964321,0.48249416472157386,0.6282,0.6235,40,188,49.12672734260559
3,3,0.8858786262087363,0.8852950983661221,0.9137,0.9136,60,282,40.84186553955078
3,4,0.9597365788596198,0.9597365788596198,0.9528,0.9527,80,376,39.146360874176025
3,5,0.9805768589529843,0.9805768589529843,0.951,0.9509,100,470,38.863118171691895
4,1,0.3416972324108036,0.3235245081693898,0.2967,0.2811,20,94,52.87167286872864
4,2,0.5587695898632877,0.54243081027009,0.8636,0.8633,40,188,47.98473572731018
4,3,0.9259753251083694,0.925891963987996,0.9298,0.9298,60,282,40.00406861305237
4,4,0.9684061353784594,0.9684061353784594,0.9481,0.9481,80,376,39.00374221801758
4,5,0.9820773591197066,0.9820773591197066,0.9595,0.9593,100,470,38.67163062095642
5,1,0.30576858952984326,0.27400800266755587,0.1767,0.1598,20,94,53.350393295288086
5,2,0.5176725575191731,0.495998666222074,0.8195,0.8191,40,188,48.9082670211792
5,3,0.9118039346448816,0.9116372124041348,0.9292,0.9289,60,282,40.16364359855652
5,4,0.9603201067022341,0.9603201067022341,0.9479,0.9478,80,376,39.0605902671814
5,5,0.9779093031010336,0.9779093031010336,0.9509,0.9507,100,470,38.65966200828552
