trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.29452968645763844,0.25950633755837227,0.1328,0.1036,10,47,27.112526893615723
1,2,0.46847898599066046,0.44529686457638423,0.2906,0.2697,20,94,24.901437759399414
1,3,0.7058038692461641,0.6986324216144096,0.7422,0.7406,30,141,22.47991108894348
1,4,0.8860907271514343,0.8860907271514343,0.8943,0.8943,40,188,20.45231604576111
1,5,0.9417945296864576,0.9417945296864576,0.9094,0.9091,50,235,19.771138668060303
1,6,0.9633088725817212,0.9631420947298199,0.9184,0.9182,60,282,19.561697244644165
1,7,0.9798198799199467,0.9798198799199467,0.9326,0.9325,70,329,19.405116081237793
1,8,0.9874916611074049,0.9874916611074049,0.9385,0.9385,80,376,19.396140813827515
1,9,0.9923282188125417,0.9923282188125417,0.9462,0.9459,90,423,19.13783097267151
1,10,0.9941627751834556,0.9941627751834556,0.9386,0.9386,100,470,19.118881702423096
2,1,0.39192795196797864,0.3760840560373582,0.1089,0.0817,10,47,26.031399965286255
2,2,0.47298198799199465,0.4494663108739159,0.3084,0.2943,20,94,24.90341567993164
2,3,0.67895263509006,0.6752835223482322,0.7576,0.7557,30,141,22.721243858337402
2,4,0.9004336224149433,0.9004336224149433,0.8858,0.8856,40,188,20.2747905254364
2,5,0.9499666444296198,0.9499666444296198,0.9082,0.9081,50,235,19.746204137802124
2,6,0.970647098065377,0.970647098065377,0.9345,0.9345,60,282,19.452988147735596
2,7,0.9791527685123416,0.9791527685123416,0.9282,0.9281,70,329,19.413094758987427
2,8,0.9866577718478986,0.9866577718478986,0.9351,0.9351,80,376,19.33137059211731
2,9,0.9913275517011341,0.9913275517011341,0.9436,0.9435,90,423,19.248534440994263
2,10,0.9946631087391594,0.9946631087391594,0.9456,0.9456,100,470,19.221606731414795
3,1,0.27334889926617745,0.24616410940627084,0.0919,0.0646,10,47,27.242161989212036
3,2,0.44579719813208807,0.42361574382921946,0.1944,0.1795,20,94,25.21857213973999
3,3,0.47364909939959976,0.44079386257505004,0.2723,0.2519,30,141,24.926353693008423
3,4,0.5830553702468312,0.5633755837224816,0.7904,0.7886,40,188,23.723570108413696
3,5,0.8974316210807205,0.8969312875250167,0.9029,0.9026,50,235,20.37750768661499
3,6,0.9464643095396932,0.9462975316877918,0.927,0.9269,60,282,19.826980352401733
3,7,0.9709806537691794,0.9709806537691794,0.9262,0.926,70,329,19.46594548225403
3,8,0.9821547698465644,0.9821547698465644,0.9422,0.9422,80,376,19.324324369430542
3,9,0.9873248832555037,0.9873248832555037,0.9465,0.9465,90,423,19.237557649612427
3,10,0.9921614409606404,0.9921614409606404,0.9426,0.9425,100,470,19.192676305770874
4,1,0.3327218145430287,0.2898599066044029,0.1356,0.1078,10,47,26.803324222564697
4,2,0.46064042695130086,0.43295530353569045,0.2216,0.2067,20,94,25.044029235839844
4,3,0.48232154769846564,0.4589726484322882,0.2662,0.2484,30,141,24.815639972686768
4,4,0.5058372248165444,0.48849232821881255,0.3638,0.3577,40,188,24.560322523117065
4,5,0.669613075383589,0.6591060707138092,0.8509,0.8502,50,235,22.83593463897705
4,6,0.9186124082721815,0.9184456304202802,0.9058,0.9056,60,282,20.070329189300537
4,7,0.956971314209473,0.956971314209473,0.9212,0.9212,70,329,19.67738389968872
4,8,0.9764843228819213,0.9764843228819213,0.93,0.9299,80,376,19.446996688842773
4,9,0.978152101400934,0.978152101400934,0.9365,0.9363,90,423,19.38915181159973
4,10,0.9848232154769847,0.9848232154769847,0.9372,0.9372,100,470,19.367209672927856
5,1,0.37441627751834555,0.3365577051367578,0.0975,0.069,10,47,26.419352054595947
5,2,0.4719813208805871,0.4497998665777185,0.1826,0.1674,20,94,24.919362545013428
5,3,0.47248165443629087,0.45013342228152103,0.2521,0.2355,30,141,24.946290254592896
5,4,0.48082054703135424,0.4578052034689793,0.2807,0.2667,40,188,24.860520601272583
5,5,0.5326884589726484,0.5166777851901267,0.5327,0.5187,50,235,24.230196714401245
5,6,0.8402268178785858,0.8382254836557705,0.9023,0.902,60,282,20.929025411605835
5,7,0.9492995330220146,0.9492995330220146,0.9299,0.9298,70,329,19.704299926757812
5,8,0.970647098065377,0.970647098065377,0.9378,0.9376,80,376,19.458956480026245
5,9,0.9764843228819213,0.9764843228819213,0.9457,0.9456,90,423,19.380167961120605
5,10,0.9839893262174784,0.9839893262174784,0.9438,0.9438,100,470,19.327309131622314
