trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.5593197732577526,0.5452484161387129,0.3242,0.3097,10,118,62.632184982299805
1,2,0.9129709903301101,0.9128376125375125,0.6041,0.602,20,236,51.81307888031006
1,3,0.922974324774925,0.9229076358786262,0.9349,0.9347,30,354,50.503830909729004
1,4,0.9677225741913972,0.9677225741913972,0.9562,0.9562,40,472,50.68739199638367
1,5,0.9823274424808269,0.9822607535845281,0.9541,0.9541,50,590,48.995920181274414
1,6,0.9883294431477159,0.9883294431477159,0.9644,0.9644,60,708,48.31574010848999
1,7,0.994864954984995,0.994864954984995,0.961,0.9609,70,826,48.57404947280884
1,8,0.996865621873958,0.996865621873958,0.9645,0.9645,80,944,48.220993518829346
1,9,0.9987995998666223,0.9987995998666223,0.9675,0.9675,90,1062,48.310752391815186
1,10,0.9991997332444148,0.9991997332444148,0.9667,0.9667,100,1180,47.97465229034424
2,1,0.469623207735912,0.4409469823274425,0.1787,0.144,10,118,62.76409339904785
2,2,0.812270756918973,0.8064021340446815,0.5744,0.5703,20,236,49.19081735610962
2,3,0.9221740580193398,0.9221740580193398,0.9229,0.9225,30,354,44.61051869392395
2,4,0.9685895298432811,0.9685895298432811,0.9565,0.9565,40,472,49.00432896614075
2,5,0.9814604868289429,0.9814604868289429,0.9612,0.9612,50,590,48.58247756958008
2,6,0.9906635545181727,0.9906635545181727,0.9552,0.9552,60,708,48.21747279167175
2,7,0.9946648882960987,0.9946648882960987,0.9633,0.9633,70,826,48.09979605674744
2,8,0.9969989996665555,0.9969989996665555,0.9605,0.9605,80,944,47.86144495010376
2,9,0.9987995998666223,0.9987995998666223,0.9646,0.9646,90,1062,47.8813910484314
2,10,0.9988662887629209,0.9988662887629209,0.9668,0.9668,100,1180,47.796621561050415
3,1,0.5440480160053351,0.44148049349783264,0.1383,0.0952,10,118,60.65355038642883
3,2,0.7087695898632878,0.47535845281760586,0.2122,0.1477,20,236,55.584378719329834
3,3,0.604001333777926,0.45481827275758585,0.3307,0.2404,30,354,58.56225657463074
3,4,0.813137712570857,0.7779259753251083,0.9361,0.9361,40,472,53.08070969581604
3,5,0.9711237079026342,0.9711237079026342,0.9436,0.9435,50,590,48.632070541381836
3,6,0.9855951983994665,0.9855951983994665,0.9675,0.9675,60,708,48.27503848075867
3,7,0.9930643547849283,0.9930643547849283,0.9669,0.9669,70,826,48.094529151916504
3,8,0.9963987995998667,0.9963987995998667,0.9671,0.9671,80,944,47.82027316093445
3,9,0.9978659553184395,0.9978659553184395,0.9656,0.9656,90,1062,47.80730724334717
3,10,0.9982660886962321,0.9982660886962321,0.9685,0.9685,100,1180,47.9010534286499
4,1,0.509569856618873,0.49349783261087027,0.224,0.2088,10,118,61.88013029098511
4,2,0.8768256085361787,0.8766255418472825,0.611,0.6077,20,236,51.448429107666016
4,3,0.9167055685228409,0.9167055685228409,0.9297,0.9297,30,354,50.294559717178345
4,4,0.9752584194731577,0.9752584194731577,0.9516,0.9516,40,472,48.887378215789795
4,5,0.9816605535178393,0.9816605535178393,0.9603,0.9603,50,590,48.47655153274536
4,6,0.9895298432810937,0.9895298432810937,0.9633,0.9633,60,708,48.145389556884766
4,7,0.994864954984995,0.994864954984995,0.966,0.966,70,826,47.8453688621521
4,8,0.9970656885628543,0.9970656885628543,0.9682,0.9682,80,944,47.84471344947815
4,9,0.9988662887629209,0.9988662887629209,0.9675,0.9675,90,1062,47.74997067451477
4,10,0.9986662220740247,0.9986662220740247,0.9674,0.9674,100,1180,47.71805691719055
5,1,0.44501500500166724,0.3474491497165722,0.2306,0.2117,10,118,63.22615051269531
5,2,0.8790930310103368,0.8786262087362454,0.5965,0.5944,20,236,51.14878559112549
5,3,0.9265088362787596,0.9265088362787596,0.9457,0.9455,30,354,49.991065979003906
5,4,0.971457152384128,0.971457152384128,0.9504,0.9504,40,472,46.86236834526062
5,5,0.9844614871623875,0.9844614871623875,0.9574,0.9574,50,590,48.5468168258667
5,6,0.9899299766588863,0.9899299766588863,0.9625,0.9625,60,708,47.91552209854126
5,7,0.9941980660220073,0.9941980660220073,0.9655,0.9655,70,826,47.78088641166687
5,8,0.9975991997332444,0.9975991997332444,0.9657,0.9657,80,944,47.881613969802856
5,9,0.9983327775925308,0.9983327775925308,0.9661,0.9661,90,1062,47.67317724227905
5,10,0.9987995998666223,0.9987995998666223,0.9688,0.9688,100,1180,47.522584199905396
