trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.427,0.39416666666666667,0.9419,0.9419,100,469,257.1241080760956
1,2,0.9625,0.96245,0.9718,0.9718,100,938,197.22735047340393
1,3,0.9831166666666666,0.9831,0.9797,0.9797,100,1407,195.12098670005798
1,4,0.99155,0.99155,0.9823,0.9822,100,1876,193.95111799240112
1,5,0.9958333333333333,0.9958333333333333,0.9807,0.9807,100,2345,193.3866274356842
2,1,0.37925,0.3369666666666667,0.927,0.927,100,469,262.1536545753479
2,2,0.9619333333333333,0.9619166666666666,0.9705,0.9705,100,938,197.4397838115692
2,3,0.9822,0.9822,0.9754,0.9752,100,1407,195.23867225646973
2,4,0.9912333333333333,0.9912333333333333,0.9827,0.9827,100,1876,193.83742094039917
2,5,0.99545,0.99545,0.9834,0.9834,100,2345,193.0555136203766
3,1,0.4814,0.4534,0.9428,0.9428,100,469,250.8449103832245
3,2,0.9643833333333334,0.9643833333333334,0.9678,0.9678,100,938,197.13628268241882
3,3,0.9833166666666666,0.9833,0.9789,0.9789,100,1407,195.33042645454407
3,4,0.9905166666666667,0.9905166666666667,0.9817,0.9816,100,1876,194.20045018196106
3,5,0.9954833333333334,0.9954833333333334,0.984,0.984,100,2345,193.66389155387878
4,1,0.18886666666666665,0.1345,0.8591,0.8588,100,469,284.10896587371826
4,2,0.9486333333333333,0.9485333333333333,0.9602,0.9601,100,938,199.42890191078186
4,3,0.98135,0.9813333333333333,0.9795,0.9795,100,1407,195.6440007686615
4,4,0.99025,0.99025,0.979,0.979,100,1876,194.80124926567078
4,5,0.99465,0.99465,0.9811,0.9811,100,2345,194.03891229629517
5,1,0.09311666666666667,0.028483333333333333,0.0973,0.0551,100,469,294.8257825374603
5,2,0.8209833333333333,0.8157666666666666,0.9599,0.9599,100,938,213.60564851760864
5,3,0.97775,0.97775,0.9703,0.9703,100,1407,196.11324906349182
5,4,0.9885166666666667,0.9885166666666667,0.9805,0.9805,100,1876,194.7607238292694
5,5,0.9933166666666666,0.9933166666666666,0.9838,0.9838,100,2345,194.01169419288635
