trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.5332866619995333,0.3919058572523919,0.2231,0.1507,20,235,123.50461554527283
1,2,0.8107810781078107,0.7953795379537953,0.9455,0.9454,40,470,108.47082686424255
1,3,0.9732306563989732,0.9732306563989732,0.9715,0.9714,60,705,98.40575218200684
1,4,0.9844984498449845,0.9844984498449845,0.9773,0.9773,80,940,98.32098007202148
1,5,0.9933660032669933,0.9933660032669933,0.979,0.9789,100,1175,95.86454844474792
2,1,0.38573857385738575,0.0022335566890022336,0.1073,0.0,20,235,128.42943596839905
2,2,0.3778044471113778,0.0006667333400006667,0.4638,0.0,40,470,128.69572281837463
2,3,0.5987598759875987,3.333666700003334e-05,0.473,0.0,60,705,117.34408950805664
2,4,0.5083508350835083,0.0,0.4678,0.0,80,940,121.96871829032898
2,5,0.44821148781544823,0.0,0.459,0.0,100,1175,125.43843626976013
3,1,0.517051705170517,0.39783978397839787,0.2339,0.1627,20,235,121.68148708343506
3,2,0.6422308897556422,0.4892822615594893,0.3693,0.2835,40,470,115.81717467308044
3,3,0.9251925192519251,0.9199253258659199,0.9637,0.9637,60,705,99.4699056148529
3,4,0.9848651531819849,0.9848651531819849,0.9688,0.9688,80,940,96.25151443481445
3,5,0.9924325765909925,0.9924325765909925,0.9765,0.9765,100,1175,95.79772877693176
4,1,0.4011067773444011,0.002466913358002467,0.144,0.0,20,235,130.54476475715637
4,2,0.3985065173183985,0.00030003000300030005,0.3921,0.0,40,470,131.36556696891785
4,3,0.5912591259125912,0.0,0.4401,0.0,60,705,119.2539689540863
4,4,0.5261526152615261,3.333666700003334e-05,0.4412,0.0,80,940,121.79616713523865
4,5,0.4542120878754542,0.0,0.4658,0.0,100,1175,125.58303689956665
5,1,0.5290862419575291,0.39243924392439244,0.2175,0.1451,20,235,120.9763617515564
5,2,0.817981798179818,0.8019468613528019,0.9509,0.9507,40,470,105.80893731117249
5,3,0.974030736406974,0.973997399739974,0.9652,0.9652,60,705,97.18401074409485
5,4,0.9847651431809847,0.9847318065139847,0.9716,0.9716,80,940,96.35522747039795
5,5,0.9934660132679934,0.9934660132679934,0.9749,0.9749,100,1175,95.98521852493286
