trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.4736473647364737,0.37273727372737275,0.1907,0.1624,20,235,123.73185062408447
1,2,0.7852785278527853,0.7677767776777678,0.9385,0.9384,40,470,107.15122818946838
1,3,0.971997199719972,0.971997199719972,0.9614,0.9613,60,705,96.80991554260254
1,4,0.9856985698569857,0.9856985698569857,0.9764,0.9764,80,940,88.6383810043335
1,5,0.9929326265959929,0.9929326265959929,0.9764,0.9764,100,1175,95.80262923240662
2,1,0.36446978031136446,0.005900590059005901,0.1443,0.0001,20,235,129.70191383361816
2,2,0.37863786378637865,0.0003667033370003667,0.41,0.0001,40,470,128.9379584789276
2,3,0.5805247191385805,6.667333400006668e-05,0.4607,0.0,60,705,118.28546524047852
2,4,0.5234856819015234,0.0,0.4562,0.0,80,940,121.4819107055664
2,5,0.4296429642964296,6.667333400006668e-05,0.4573,0.0,100,1175,126.56930041313171
3,1,0.5068173484015068,0.3805047171383805,0.2073,0.1501,20,235,122.27581095695496
3,2,0.77001033436677,0.7512417908457513,0.941,0.941,40,470,108.22341299057007
3,3,0.972063873053972,0.972063873053972,0.9679,0.9679,60,705,97.1390700340271
3,4,0.9844984498449845,0.9844984498449845,0.9762,0.9762,80,940,96.24546384811401
3,5,0.9929659632629929,0.9929659632629929,0.9775,0.9775,100,1175,95.72485589981079
4,1,0.5065506550655066,0.38003800380038005,0.2098,0.1443,20,235,122.41144824028015
4,2,0.7845451211787845,0.7726772677267727,0.9505,0.9505,40,470,107.44050765037537
4,3,0.9727972797279728,0.9727972797279728,0.9629,0.9628,60,705,96.96754384040833
4,4,0.9848984898489849,0.9848651531819849,0.9727,0.9727,80,940,96.13877081871033
4,5,0.9947994799479948,0.9947994799479948,0.9793,0.9793,100,1175,95.84712362289429
5,1,0.495949594959496,0.4005067173384005,0.205,0.1489,20,235,123.11958003044128
5,2,0.8013801380138014,0.7733106643997734,0.9485,0.9485,40,470,106.88401770591736
5,3,0.9706970697069707,0.9706970697069707,0.9711,0.9711,60,705,97.49015212059021
5,4,0.9875654232089875,0.9875654232089875,0.9721,0.9721,80,940,96.51276755332947
5,5,0.9937993799379938,0.9937993799379938,0.9772,0.9772,100,1175,95.97520661354065
