trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.62185,0.4315,0.2256,0.1576,20,469,236.4223930835724
1,2,0.8841833333333333,0.8727333333333334,0.9691,0.9691,40,938,207.22040677070618
1,3,0.9821333333333333,0.9821333333333333,0.9801,0.9801,60,1407,196.37528038024902
1,4,0.9912166666666666,0.9912166666666666,0.9852,0.9852,80,1876,195.43669176101685
1,5,0.9947666666666667,0.9947666666666667,0.9836,0.9836,100,2345,194.8622269630432
2,1,0.6282833333333333,0.44016666666666665,0.2191,0.159,20,469,236.28751707077026
2,2,0.8553833333333334,0.83545,0.9747,0.9747,40,938,210.1393802165985
2,3,0.9821,0.9821,0.9784,0.9784,60,1407,195.959157705307
2,4,0.9892833333333333,0.9892833333333333,0.9812,0.9812,80,1876,180.50754356384277
2,5,0.9940166666666667,0.9940166666666667,0.9849,0.9849,100,2345,193.39501237869263
3,1,0.6039,0.42791666666666667,0.2171,0.1567,20,469,237.90103936195374
3,2,0.8955666666666666,0.88095,0.9693,0.9693,40,938,205.2193260192871
3,3,0.9825666666666667,0.9825666666666667,0.9783,0.9783,60,1407,195.1711666584015
3,4,0.9899833333333333,0.9899833333333333,0.9836,0.9836,80,1876,194.08606791496277
3,5,0.9939333333333333,0.9939333333333333,0.9833,0.9833,100,2345,193.41486239433289
4,1,0.59995,0.41788333333333333,0.2271,0.1541,20,469,238.19111800193787
4,2,0.8778833333333333,0.8655833333333334,0.9619,0.9619,40,938,207.62965631484985
4,3,0.9823,0.9823,0.9817,0.9817,60,1407,195.6168975830078
4,4,0.9898666666666667,0.9898666666666667,0.9809,0.9809,80,1876,194.52381944656372
4,5,0.9946666666666667,0.9946666666666667,0.9785,0.9785,100,2345,193.45068883895874
5,1,0.6055333333333334,0.4231666666666667,0.2206,0.1589,20,469,237.9984998703003
5,2,0.8957166666666667,0.8812666666666666,0.9677,0.9677,40,938,205.08052730560303
5,3,0.9827166666666667,0.9827166666666667,0.9739,0.9738,60,1407,195.4233570098877
5,4,0.9908833333333333,0.9908666666666667,0.9828,0.9828,80,1876,194.11286044120789
5,5,0.9953,0.9953,0.9857,0.9856,100,2345,193.39576888084412
