trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.27742580860286764,0.2397465821940647,0.1665,0.1524,20,94,55.64912676811218
1,2,0.48682894298099366,0.4677392464154718,0.4596,0.4504,40,188,50.06207251548767
1,3,0.8481160386795599,0.8460320106702234,0.9185,0.9185,60,282,41.96573233604431
1,4,0.9574858286095365,0.9572357452484161,0.9469,0.9469,80,376,39.5531861782074
1,5,0.9733244414804935,0.9733244414804935,0.9587,0.9587,100,470,39.103389739990234
2,1,0.3008502834278093,0.2685895298432811,0.2067,0.1916,20,94,54.20498871803284
2,2,0.49299766588862953,0.4685728576192064,0.3407,0.3371,40,188,49.931421995162964
2,3,0.7278259419806602,0.7239913304434812,0.9204,0.9202,60,282,44.65553641319275
2,4,0.9519839946648883,0.9519839946648883,0.9471,0.947,80,376,39.782572507858276
2,5,0.9759919973324441,0.9759919973324441,0.957,0.9569,100,470,39.13729810714722
3,1,0.3237745915305102,0.2985995331777259,0.2143,0.1967,20,94,53.82301139831543
3,2,0.5729409803267755,0.5583527842614204,0.8459,0.8453,40,188,48.28383255004883
3,3,0.9262254084694899,0.9261420473491164,0.9298,0.9297,60,282,40.28422999382019
3,4,0.9577359119706569,0.95756918972991,0.9507,0.9506,80,376,39.437496185302734
3,5,0.9780760253417806,0.9780760253417806,0.9469,0.9469,100,470,39.143282890319824
4,1,0.23149383127709236,0.007502500833611204,0.0936,0.0,20,94,55.65909957885742
4,2,0.25816938979659887,0.00033344448149383126,0.176,0.0002,40,188,55.276124000549316
4,3,0.4705735245081694,8.336112037345781e-05,0.4163,0.0,60,282,50.869908571243286
4,4,0.4952484161387129,0.0,0.417,0.0001,80,376,50.05309176445007
4,5,0.4369789929976659,8.336112037345781e-05,0.4364,0.0,100,470,48.47631001472473
5,1,0.3194398132710904,0.29401467155718575,0.1911,0.1736,20,94,53.89980101585388
5,2,0.5237579193064354,0.5068356118706235,0.8519,0.8514,40,188,49.38288474082947
5,3,0.9170556852284095,0.9170556852284095,0.9294,0.9293,60,282,40.54652500152588
5,4,0.9606535511837279,0.9606535511837279,0.9406,0.9406,80,376,39.422531843185425
5,5,0.977242414138046,0.977242414138046,0.9481,0.9481,100,470,39.165220499038696
