trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.062104034678226075,0.014088029343114372,0.0832,0.0087,100,94,60.236366748809814
1,2,0.053767922640880296,0.011587195731910636,0.0676,0.0103,100,188,59.331637144088745
1,3,0.0707735911970657,0.016255418472824273,0.0835,0.0182,100,282,59.53509449958801
1,4,0.09811603867955986,0.033511170390130046,0.1695,0.1087,100,376,58.40710496902466
1,5,0.21182060686895632,0.18056018672890964,0.264,0.2426,100,470,56.1591055393219
2,1,0.06285428476158719,0.013921307102367456,0.0486,0.01,100,94,59.353577613830566
2,2,0.05910303434478159,0.011420473491163721,0.0925,0.0101,100,188,59.29473543167114
2,3,0.06018672890963655,0.012920973657885962,0.0943,0.0259,100,282,59.513152837753296
2,4,0.07877625875291763,0.02300766922307436,0.1164,0.0356,100,376,59.10125255584717
2,5,0.10678559519839946,0.05260086695565189,0.1006,0.0514,100,470,58.422065019607544
3,1,0.06202067355785262,0.009086362120706902,0.0872,0.0087,100,94,59.24287438392639
3,2,0.056102034011337114,0.0106702234078026,0.1007,0.0254,100,188,59.26880502700806
3,3,0.07344114704901634,0.01492164054684895,0.0537,0.0349,100,282,58.92472314834595
3,4,0.08727909303101034,0.03101033677892631,0.0824,0.038,100,376,58.895694732666016
3,5,0.13412804268089362,0.08311103701233745,0.1504,0.0996,100,470,57.779675006866455
4,1,0.06435478492830944,0.009419806602200733,0.0725,0.0092,100,94,61.186574935913086
4,2,0.055518506168722906,0.00875291763921307,0.0108,0.0108,100,188,59.05028295516968
4,3,0.05793597865955318,0.010836945648549517,0.047,0.0155,100,282,59.637712240219116
4,4,0.061020340113371124,0.011837279093031011,0.0903,0.0308,100,376,60.637043714523315
4,5,0.09136378792930977,0.03242747582527509,0.0964,0.0501,100,470,58.925615072250366
5,1,0.06360453484494831,0.011837279093031011,0.0275,0.0104,100,94,59.846155881881714
5,2,0.0565188396132044,0.009086362120706902,0.052,0.0098,100,188,59.35147762298584
5,3,0.06918972990997,0.011920640213404467,0.0008,0.0005,100,282,58.993433237075806
5,4,0.07477492497499166,0.016838946315438478,0.1003,0.0268,100,376,59.080201864242554
5,5,0.10536845615205068,0.036928976325441815,0.1112,0.0454,100,470,58.41395401954651
